Symptom,Disease
구토,"간농양(Liver abscess), 간염(Hepatitis), 간의 양성 신생물(Benign neoplasm of the liver), 고마그네슘혈증(Hypermagnesemia), 고산병(Mountain sickness), 고칼륨혈증(Hyperkalemia), 고칼슘혈증(Hypercalcemia), 고환의 염전(Torsion of testis), 광견병(Rabies), 교모세포종(Glioblastoma), 급성 A형 간염(Acute hepatitis A), 급성 B형 간염(Acute hepatitis B), 급성 담낭염(Acute cholecystitis), 급성 바이러스성 간염(Acute viral hepatitis), 급성 신부전(Acute renal failure), 급성 신우신염(Acute pyelonephritis), 급성 심근경색증(Acute myocardial infarction), 급성 위장염(Acute gastroenteritis), 급성 충수염(Acute appendicitis), 급성 췌장염(Acute pancreatitis), 납 중독(Lead Poisoning), 노로바이러스 장염(Norovirus Gastroenteritis), 뇌농양(Brain abscess), 뇌동맥류(Cerebral aneurysm), 뇌염(Encephalitis), 뇌종양(Brain tumor), 뇌출혈(Cerebral hemorrhage), 담낭암(GB cancer), 담석(GB stone), 대동맥 박리(Aortic dissection), 대장균 감염(Escherichia coli (E. coli) infection), 댄디워커 증후군(Dandy-Walker syndrome), 덤핑 증후군(Dumping syndrome), 독성 간염(Toxic hepatitis), 독성 쇼크 증후군(Toxic shock syndrome), 라싸열(Lassa fever ), 라이 증후군(Reye syndrome), 레지오넬라증(Legionella), 리스테리아(Listeria), 만성 B형 간염(Chronic hepatitis B), 만성 담낭염(Chronic cholecystitis), 말로리-바이스 증후군(Mallory-weiss Syndrome), 메켈 게실(Meckel's diverticulum), 바이러스성 장염(Viral enteritis(Rota)), 박테리아성 뇌수막염(Bacterial meningitis), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 백일해(Pertussis), 백혈병(Leukemia), 복막염(Peritonitis), 부비동염(Sinusitis), 부신 기능부전(Adrenal insufficiency), 사시(Strabismus), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 서혜부 탈장(Inguinal hernia), 석회화 담낭(Porcelain GB), 선모충증(Trichinellosis), 선천성 거대결장증(Hirschsprung disease), 섭식 장애(Eating disorder), 성홍열(Scarlet fever), 세균성 이질(Shigellosis), 소장의 혈관 장애(Vascular disorders of intestine), 소화관의 이물(Foreign body in alimentary tract), 소화불량(Dyspepsia), 수두증(Hydrocephalus), 시트룰닌혈증(Citrullinemia), 식도 정맥류(Esophageal varices), 식도암(Esophageal cancer), 식도염(Esophagitis), 식도의 이물(Foreign body in esophagus), 식도의 평활근종(Leiomyoma of esophagus), 식중독(Foodborne illness), 신경성 폭식증(Bulimia nervosa), 신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn), 신우요관 폐색(UPJ obstruction), 신장 결석(Renal stone), 신종 플루(Novel swine-origin influenza A(H1N1)), 신체형 장애(Somatic symptom disorder), 심근염(Myocarditis), 십이지장 궤양(Duodenal ulcer), 십이지장염(Duodenitis), 아나필락시스(Anaphylactic shock), 알코올성 간질환(Alcoholic liver disease), 약물 알레르기(Drug allergy), 옻 중독(Poison ivy dermatitis), 외상성 경막하 출혈(Traumatic subdural hemorrhage), 외상에 의한 뇌 손상(Traumatic brain injury), 요관 결석(Ureteral stone), 요붕증(Diabetes insipidus), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 원발성 중추신경계 림프종(Primary CNS lymphoma), 원인을 알 수 없는 열(Fever of unknown origin), 위 유암종(Gastric Carcinoid Tumor), 위 정맥류(Gastric varices), 위경련(Stomach cramp), 위궤양(Gastric ulcer), 위암(Stomach cancer), 위염(Gastritis), 위용종(Gastric polyp), 위장관 기질 종양(Stomach GIST), 융모막암종(Choriocarcinoma), 음식 알레르기(Food allergy), 이석증(Benign paroxysmal vertigo), 이소성 췌장(Ectopic pancreas), 이식편대숙주질환(Graft-versus-host reaction or disease(GVHD)), 익수(Submersion), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus), 인플루엔자(Influenza), 일과성 뇌허혈증(Transient cerebral ischemia), 일본 뇌염(Japanese encephalitis), 일산화탄소 중독(Carbon monoxide-poisoning), 자가면역성 간염(Autoimmune hepatitis), 자발성 두개강 내 출혈(Spontaneous intracranial hemorrhage), 장간막 정맥 혈전증(Mesenteric Venous Thrombosis), 장염전(Volvulus), 장유착(Intestine adhesions), 장중첩증(Intussusception), 장폐색(Intestinal obstruction), 저나트륨혈증(Hyponatremia), 전정신경염(Vestibular neuronitis), 중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS)), 지주막하 출혈(Subarachnoid hemorrhage), 진행성 위암(Advanced gastric cancer), 척추 뇌저 동맥 증후군(Vertebro-basilar artery syndrome), 총담관 낭(Choledochal cyst), 총담관 담석(CBD stone), 충수암(appendiceal carcinoma), 췌장암(Pancreatic cancer), 췌장염(Pancreatitis), 콜레라(Cholera), 큐열(Q Fever), 크론병(Crohn's disease), 파라인플루엔자 감염증(Parainfluenza infection), 파상풍(Tetanus), 페닐케톤뇨증(Phenylketonuria), 편두통(Migraine), 포르피린증(Porphyria), 포상기태(Hydatidiform mole), 프로피온산증(Propionic acidemia), 해외여행 시 주의사항(Travel counseling), 현훈(Vertigo), 화농성 간농양(Pyogenic liver abscess), 황열(Yellow fever), 후천성 면역결핍증(Acquired immunodeficiency syndrome)"
기운없음,"간농양(Liver abscess), 간염(Hepatitis), 감염성 단핵구증(Infectious mononucleosis), 괴혈병(scurvy), 금단 현상(Withdrawal Phenomenon), 뇌염(Encephalitis), 디프테리아(Diphtheritia), 만성림프구백혈병(Chronic lymphocytic leukemia), 부신 종양(Adrenal tumor), 비브리오 패혈증(Vibrio vulnificus Septicemia), 성장호르몬 결핍증(Growth hormone deficiency), 알코올성 간질환(Alcoholic liver disease), 요근 농양(Psoas abscess), 위장관 결핵(Gastrointestinal tuberculosis), 임신성 당뇨병(Gestational diabetes), 자가면역성 갑상선염(Autoimmune thyroiditis), 자가면역용혈질환(Autoimmune hemolytic disease), 저혈당증(Hypoglycemia), 지방간(Fatty liver), 춘곤증(spring fatigue), 췌장 전이암(Pancreatic metastasis)"
오한,"간농양(Liver abscess), 감염성 단핵구증(Infectious mononucleosis), 게실 질환(Diverticular disease), 공황 장애(Panic disorder), 급성 신우신염(Acute pyelonephritis), 노로바이러스 장염(Norovirus Gastroenteritis), 뇌염(Encephalitis), 늑막염(Pleurisy), 단독(Erysipelas), 담석(GB stone), 라임병(Lyme disease), 레지오넬라증(Legionella), 렙토스피라증(Leptospirosis), 마버그열(Marburg hemorrhagic fever), 말라리아(Malaria), 메리오이드증(Melioidosis), 모낭염(Folliculitis), 반코마이신 내성 장알균(VRE) 감염증(Vancomycin-Resistant Enterococci), 반코마이신 내성 황색포도알균(VRSA) 감염증(Vancomycin-Resistant Staphylococcus aureus), 발진열(Murine typhus), 발진티푸스(Epidemic typhus), 병원 감염성 폐렴(Hospital acquired pneumonia (HAP)), 봉와직염(Cellulitis), 브루셀라증(Brucellosis), 비브리오 패혈증(Vibrio vulnificus Septicemia), 산욕열(Puerperal fever), 식도염(Esophagitis), 신종 플루(Novel swine-origin influenza A(H1N1)), 심내막염(Endocarditis), 아스페르길루스증(Aspergillosis), 야토병(Tularemia), 요로 감염(Urinary tract infection), 원인을 알 수 없는 열(Fever of unknown origin), 유선염(Mastitis), 인플루엔자(Influenza), 장티푸스(typhoid fever), 조류 인플루엔자(AI) 인체감염증(Avian Influenza Human Infection), 종격동염(Mediastinitis), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 척추 골수염(Vertebral osteomyelitis), 총담관 담석(CBD stone), 충수암(appendiceal carcinoma), 치쿤구니야열(Chikungunya Fever), 큐열(Q Fever), 털진드기병(Scrub typhus), 통풍(Gout), 패혈성 관절염(Septic arthtritis), 패혈증(Sepsis), 폐렴(Pneumonia), 폐렴간균에 의한 폐렴 (Klebsiella pneumoniae infection), 호중구감소증(Neutropenia), 회음 괴저(Fournier's gangrene), 히스토플라즈마증(Histoplasmosis)"
압통,"간농양(Liver abscess), 감염성 근육염(Infective myositis), 감염성 단핵구증(Infectious mononucleosis), 결핵성 복막염(Tuberculous peritonitis), 경부 림프절염(Cervical lymphadenitis), 관절염(Arthritis), 근근막 통증 증후군(myofascial pain syndrome), 근육 긴장성 두통(Tension-type headache), 두통(Headache), 맹장염(Appendicitis), 봉와직염(Cellulitis), 비루관 폐쇄(Nasolacrimal duct obstruction), 석회성 건염(Calcific Tendinitis), 스티븐 존슨 증후군(Stevens Johnson syndrome), 슬개건염(Patellar tendinitis), 슬개골 골절(Patella Fracture), 오스굿씨 병(Osgood Schlatter Disease), 융모양막염(Chorioamnionitis), 조갑주위염(Paronychia), 족저 근막염(Plantar Fasciitis), 췌장염(Pancreatitis), 표피낭종(Epidermal cyst), 한선염(Hidradenitis suppurativa)"
담도감염,간디스토마(Clonorchisis sinensis)
회색변,"간문부 담관암(Klatskin's tumor), 급성 췌장염(Acute pancreatitis), 담관암(Cholangiocarcinoma), 바터 팽대부 암(AOV cancer), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 신생아 답즙정체증(Neonatal Cholestasis), 총담관 낭(Choledochal cyst), 췌장암(Pancreatic cancer)"
진한 소변색,"간문부 담관암(Klatskin's tumor), 간신 증후군(Hepatorenal syndrome), 간염(Hepatitis), 급성 A형 간염(Acute hepatitis A), 급성 B형 간염(Acute hepatitis B), 급성 C형 간염(Acute hepatitis C), 담관암(Cholangiocarcinoma), 만성 B형 간염(Chronic hepatitis B), 바터 팽대부 암(AOV cancer), 복압성 요실금(Stress urinary incontinence), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 신생아 답즙정체증(Neonatal Cholestasis), 자가면역용혈질환(Autoimmune hemolytic disease), 총담관 낭(Choledochal cyst), 혈뇨(Hematuria)"
피부소양감,"간문부 담관암(Klatskin's tumor), 간신 증후군(Hepatorenal syndrome), 간염(Hepatitis), 경화성 담관염(Sclerosing cholangitis), 곰팡이 감염(Fungal infection), 급성 B형 간염(Acute hepatitis B), 급성 C형 간염(Acute hepatitis C), 급성 바이러스성 간염(Acute viral hepatitis), 기저귀 피부염(Diaper (napkin) dermatitis), 담관암(Cholangiocarcinoma), 동상(Frostbite), 두드러기(Urticaria), 두부 백선(Tinea Capitis), 만성 B형 간염(Chronic hepatitis B), 만성 단순 태선(Lichen simplex chronicus), 만성 두드러기(Chronic urticaria), 만성 신부전(Chronic renal failure), 말기 신질환(End stage renal disease), 무좀(Tinea pedis), 바터 팽대부 암(AOV cancer), 벌에 쏘였을 때(Bee bite), 비듬(Dandruff), 비임균성 요도염(Nongonococcal urethritis), 비호지킨 림프종(Non-Hodgkin lymphoma), 상피내 신생물(IN SITU NEOPLASMS), 수두(Varicella (chickenpox)), 수족구병(Hand, foot and mouth disease), 습진(Eczema), 신생아 답즙정체증(Neonatal Cholestasis), 아나필락시스(Anaphylactic shock), 아토피성 피부염(Atopic dermatitis), 어린선(Ichthyosis), 옴(Scabies), 옻 중독(Poison ivy dermatitis), 외이도염(Otitis externa), 요독증(Uremia), 원발성 담즙성 경화증(Primary Biliary cirrhosis), 접촉 피부염(Contact dermatitis), 지루성 피부염(Seborrheric dermatitis), 콜린성 두드러기(Cholinergic urticaria), 탄저병(Anthrax), 태열(), 파라핀종(Paraffinoma), 편평 태선(Lichen Planus), 피부건조증(Xerosis cutis), 한랭 두드러기(Cold urticaria), 헤노호 쉰라인 자반증(Henoch-Schonlein purpura), 호산구 증가증(Eosinophilia), 호지킨 림프종(Hodgkin lymphoma), 홍역(Measles), 흉터(Scar)"
자세 불안정,"간성 뇌증(Hepatic encephalopathy), 비정형 파킨슨 증후군(Atypical Parkinsonism), 파킨슨병(Parkinson's disease), 헌팅톤 병(Huntington disease)"
불면증,"간성 뇌증(Hepatic encephalopathy), 갑상선기능항진증(Hyperthyroidism), 거북목 증후군(Turtle neck syndrome), 금단 현상(Withdrawal Phenomenon), 납 중독(Lead Poisoning), 불면증(Insomnia), 불안 장애(Anxiety disorder), 산후 갑상선염(Postpartum thyroiditis), 섬망(Delirium), 수면 무호흡증(Sleep apnea), 울혈성 심부전(Congestive heart failure), 춘곤증(spring fatigue), 폐경(Menopause)"
혼돈,"간성 뇌증(Hepatic encephalopathy), 간신 증후군(Hepatorenal syndrome), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 분만 후 출혈(Postpartum hemorrhage), 섬망(Delirium), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 치매(Dementia)"
혼수,"간성 뇌증(Hepatic encephalopathy), 결핵성 수막염(Tuberculous meningitis), 광견병(Rabies), 뇌동맥 폐쇄(Occlusion of cerebral artery), 라이 증후군(Reye syndrome), 만성 신부전(Chronic renal failure), 말기 신질환(End stage renal disease), 바이러스성 뇌수막염(Viral meningitis), 박테리아성 뇌수막염(Bacterial meningitis), 외상성 경막하 출혈(Traumatic subdural hemorrhage), 외상에 의한 뇌 손상(Traumatic brain injury), 일본 뇌염(Japanese encephalitis), 지주막하 출혈(Subarachnoid hemorrhage)"
인지장애,"간성 뇌증(Hepatic encephalopathy), 거스트만 증후군(Gerstmann Syndrome), 과호흡 증후군(Hyperventilation syndrome), 뇌성 마비(Cerebral palsy), 다발성 경화증(Multiple sclerosis), 레트 증후군 (Rett syndrome), 루빈스타인 테이비 증후군 (Rubinstein-Taybi syndrome), 스미스-마제니스 증후군 (Smith-Magenis syndrome, SMS), 안면인식장애(Prosopagnosia), 외상성 치매 (Traumatic dementia), 잠금 증후군(Locked-in Syndrome), 진행성 핵상마비(progressive supranuclear palsy), 크로이츠펠트-야콥병(Creutzfeldt-Jakob disease), 혈관성 치매(Vascular dementia)"
감정 변화,"간성 뇌증(Hepatic encephalopathy), 기억상실증(amnesia), 섬망(Delirium), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder), 소아청소년기 우울증(Depression in childhood and adolescence), 수막종(Meningioma), 아스퍼거 증후군(Asperger disorder), 알츠하이머병(Alzheimer's disease), 치매(Dementia), 폐경(Menopause)"
덩어리가 만져짐,"간세포암(Hepatocellular carcinoma), 갑상선 유두암(Papillary Carcinoma of Thyroid ), 갑상선암(Thyroid cancer), 결절종(Ganglion), 골육종(Osteosarcoma), 과립막 세포종(Granulosa cell tumor), 구강암(Oral Cancer), 난소암(Ovarian cancer), 듀피트렌 구축(Dupuytren's contracture), 린치 증후군(Lynch Syndrome), 림프관종(Lymphangioma), 림프종(Lymphoma), 방광암(Bladder cancer), 버킷 림프종(Burkitt Tumor), 부갑상선암(Parathyroid Cancer), 비호지킨 림프종(Non-Hodgkin lymphoma), 뼈의 신생물(Neoplasm of the bone), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 수신증(Hydronephrosis), 연부조직 육종(Soft tissue sarcoma), 요근 농양(Psoas abscess), 위장관 기질 종양(Stomach GIST), 윌름즈 종양(Wilms Tumor), 유방 파제트병 (Pagets disease of the Breast), 유잉육종(Ewing sarcoma), 육종(Sarcoma), 음경암(Penis Cancer), 자궁선근증(Adenomyosis), 장중첩증(Intussusception), 전이 암(Metastatic cancer), 지방종(Lipoma), 총담관 낭(Choledochal cyst), 타액선암(Malignant neoplasm of salivary glands), 표피낭종(Epidermal cyst), 한관종(Syringoma), 횡문근육종(Rhabdomyosarcoma)"
전신 부종,"간신 증후군(Hepatorenal syndrome), 갑상선기능저하증(Hypothyroidism), 급성 신부전(Acute renal failure), 말기 신질환(End stage renal disease), 면역글로불린 A 신병증(IgA nephropathy), 미세변화 신증후군(Minimal change nephrotic syndrome), 복수(Ascites), 부신암(Adrenal gland cancer), 사구체신염(Glomerulonephritis), 신부전(Renal failure), 신증후군(Nephrotic syndrome), 온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum), 요독증(Uremia), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 자가면역성 간염(Autoimmune hepatitis), 자간전증(Pre-eclampsia), 자간증(Eclampsia), 점액수종 혼수(Myxoedema coma), 캐슬만병(Castlemans disease), 호산구 증가증(Eosinophilia)"
소변량 감소,"간신 증후군(Hepatorenal syndrome), 급성 신부전(Acute renal failure), 말기 신질환(End stage renal disease), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 복수(Ascites), 신동맥 협착증(Renal artery stenosis), 울혈성 심부전(Congestive heart failure), 자간전증(Pre-eclampsia), 총동맥간증(Persistent truncus arteriosus), 패혈증(Sepsis)"
관절통,"간염(Hepatitis), 강직성 척추염(Ankylosing spondylitis), 결절성 다발동맥염(Polyarteritis nodosa), 결핵성 골수염(Tuberculous osteomyelitis), 골관절염(Osteoarthritis), 골다공증(Osteoporosis), 급성 간질성 신염(Acute tubulo-interstitial nephritis), 급성 바이러스성 간염(Acute viral hepatitis), 기쿠치병(Kikuchi Disease), 뎅기열(Dengue fever), 독성 간염(Toxic hepatitis), 라임병(Lyme disease), 류마티스 관절염(Rheumatoid arthritis), 만성 B형 간염(Chronic hepatitis B), 반월판 연골손상(Tear of meniscus), 비만(Obesity), 산후 갑상선염(Postpartum thyroiditis), 성인형 스틸병(Adult-Onset Stills disease), 소아 류마티스 관절염(Juvenile rheumatoid arthritis), 아밀로이드증(Amyloidosis), 약물 알레르기(Drug allergy), 연골연화증(Chondromalacia), 염좌(sprain), 윌슨병(Willson disease), 자가면역성 간염(Autoimmune hepatitis), 잠수병(Diver's disease), 전신 홍반성 낭창(Systemic lupus erythematosus), 지카 바이러스 감염증(Zikavirus Infection), 처그 스트라우스 증후군(Churg strauss syndrome), 크론병(Crohn's disease), 통풍성 관절염(gouty arthritis), 패혈성 관절염(Septic arthtritis), 폐경(Menopause), 피부근육염(Dermatopolymyositis), 혈관염(Vasculitis)"
간성뇌증,"간염(Hepatitis), 사이트린 결핍(Citrin deficiency), 알코올성 간질환(Alcoholic liver disease), 윌슨병(Willson disease), 전격성 간염(Fulminant Hepatic Failure)"
근육통,"간염(Hepatitis), 갑상선기능저하증(Hypothyroidism), 결절성 다발동맥염(Polyarteritis nodosa), 근근막 통증 증후군(myofascial pain syndrome), 급성 B형 간염(Acute hepatitis B), 급성 C형 간염(Acute hepatitis C), 급성 바이러스성 간염(Acute viral hepatitis), 급성 신우신염(Acute pyelonephritis), 노로바이러스 장염(Norovirus Gastroenteritis), 뎅기열(Dengue fever), 라싸열(Lassa fever ), 라임병(Lyme disease), 레지오넬라증(Legionella), 렙토스피라증(Leptospirosis), 리스테리아(Listeria), 마버그열(Marburg hemorrhagic fever), 메리오이드증(Melioidosis), 발진열(Murine typhus), 발진티푸스(Epidemic typhus), 베게너 육아종증(Wegener granulomatosis), 병원 감염성 폐렴(Hospital acquired pneumonia (HAP)), 봉와직염(Cellulitis), 부갑상선기능항진증(Hyperparathyroidism), 산후 갑상선염(Postpartum thyroiditis), 선모충증(Trichinellosis), 섬유근육통(Fibromyalgia), 성인형 스틸병(Adult-Onset Stills disease), 수두(Varicella (chickenpox)), 신종 플루(Novel swine-origin influenza A(H1N1)), 신체형 장애(Somatic symptom disorder), 심근염(Myocarditis), 야토병(Tularemia), 약물 알레르기(Drug allergy), 에볼라 출혈열(Ebola hemorrhagic fever), 원인을 알 수 없는 열(Fever of unknown origin), 웨스트나일열(West Nile Fever), 유행성 이하선염(Mumps), 인플루엔자(Influenza), 저칼륨혈증(Hypokalemia), 조류 인플루엔자(AI) 인체감염증(Avian Influenza Human Infection), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 처그 스트라우스 증후군(Churg strauss syndrome), 측두동맥염(Temporal arteritis), 치쿤구니야열(Chikungunya Fever), 카르니틴 팔미토일 전환효소 결핍증 2형(Carnitine Palmitoyltransferase II Deficiency), 캄필로박터 감염증(Campylobacteriosis), 코로나-19(COVID-19), 큐열(Q Fever), 화농성 간농양(Pyogenic liver abscess), 황열(Yellow fever), 횡문근융해증(Rhabdomyolysis)"
