Title,Symptoms,Related Diseases,Departments,Synonyms
레트 증후군 (Rett syndrome),"인지장애, 운동장애, 정신 지체, 상동적 행동","결절성 경화증 , 신경섬유종, 모세혈관 확장성 운동실조 증후군 , 로우 증후군, 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환","의학유전학센터, 의학유전학과, 소아정신건강의학과","cerroatrophic hyperammonemia,대뇌위축성과암모니아혈증"
렙토스피라증(Leptospirosis),"수막자극증상, 두통, 안구내 출혈, 간부전, 근육통, 열, 오한, 신부전, 황달",신증후성 출혈열,감염내과,"7일열,논농부병,농부병,와일씨병"
로우 증후군(Lowe syndrome),,"레트 증후군 , 결절성 경화증 , 신경섬유종, 모세혈관 확장성 운동실조 증후군 , 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과, 소아재활의학과","OCRL,Oculo-cerebro-renal syndrome of Lowe,로웨 증후군"
로하드 증후군(ROHHAD Syndrome),"수면 무호흡, 식욕증가, 열, 설사, 호흡곤란, 서맥, 체중증가, 사시, 경련, 사춘기 지연, 발한, 악성종양발생, 변비, 저체온","사시, 뇌하수체 기능부전, 프라더 윌리 증후군 , 수면 무호흡증, 비만","의학유전학센터, 소아내분비대사과","Rapid-onset obesity with hypothalamic dysfunction hypoventilation and autonomic dysregulation,심한 비만,시상하부 기능 장애,호흡부전 및 자율 신경 조절 장애를 동반하는 증후군"
루드비히 안자이나 (Ludwig's angina),"열감, 경부 운동 제한, 목 주변 부종",봉와직염,이비인후과,"구강저 봉와직염,루드비히 앙기나,턱끝밑 봉와직염"
루빈스타인 테이비 증후군 (Rubinstein-Taybi syndrome),"손가락의 변형, 인지장애, 얼굴형태의 이상, 언어장애, 코의 기형 동반, 정신 지체","연골외배엽 이형성증 , 바르덴부르크 증후군, 골덴하 증후군, 홀트-오람 증후군 , 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군 , 누난 증후군 , 러셀 실버 증후군 , 대뇌성 거인증 , 트리처 콜린스 증후군 , 엘러스-단로스 증후군 , 코넬리아드랑게 증후군 , 베크위트-위드만 증후군, ARC 증후군, 판코니범혈구감소증","의학유전학센터, 소아내분비대사과, 의학유전학과",
류마티스 관절염(Rheumatoid arthritis),"다발성 관절염, 관절통, 관절의 경직, 손마디가 뻣뻣해짐, 열감","골관절염, 관절염, 소아 류마티스 관절염, 패혈성 관절염",류마티스내과,"류마토이드관절염,류마토이드성관절염,류머토이드관절염,류머토이드성관절염,류머티스 관절염,류머티스관절,류머티스성 관절염"
리 증후군(Leigh syndrome),,"MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군, 레버씨 시신경 위축증 , 미토콘드리아성 뇌근육병증","신경과, 의학유전학센터, 의학유전학과","Subacute necrotizing encephalomyelopathy,리씨증후군,아급성 괴사성 뇌척수염"
리스테리아(Listeria),"근육통, 구토, 두통, 열, 설사","패혈증, 박테리아성 뇌수막염",감염내과,"리스테리아병,리스테리아증,회선병"
린치 증후군(Lynch Syndrome),"악성종양발생, 덩어리가 만져짐","대장암, 위암, 난소암, 자궁내막암, 피부암","종양내과, 방사선종양학과","비용종성 대장암,비용종성 직장암,유전성 대장암,유전성 비용종성 대장 직장암,유전성 직장암"
림프관종(Lymphangioma),"덩어리가 만져짐, 발적","상기도 감염, 가와사키병, 경부 림프절염","성형외과, 소아외과","낭성 림프관종,해면상림프관종"
림프부종(Lymphedema),"사지 부종, 피부균열, 피부 긴장도 저하","유방암, 전립선암, 자궁경부암, 외음부암, 난소암, 질암, 자궁 육종, 자궁내막암","산부인과, 성형외과, 혈관외과, 재활의학과","림프수종,임파종대"
림프종(Lymphoma),"덩어리가 만져짐, 암 부위별로 다름","비호지킨 림프종, 호지킨 림프종, 원발성 중추신경계 림프종","종양내과, 혈액내과, 방사선종양학과, 소아청소년종양혈액과","림프암,악성림프종,임파선암"
마로토-라미 증후군(Maroteaux-Lamy Syndrome),,"헐러 증후군, 슬라이 증후군, 산필리포 증후군, 뮤코다당질축적증, 모르키오 증후군, 헌터 증후군","의학유전학센터, 의학유전학과","Mucopolysaccharidosis VI형,마로토-라미증후군,뮤코다당체침착증 Ⅵ형"
마르판 증후군 (Marfan syndrome),,"판코니범혈구감소증, ARC 증후군, 골덴하 증후군, 베크위트-위드만 증후군, 연골외배엽 이형성증 , 코넬리아드랑게 증후군 , 엘러스-단로스 증후군 ","심장내과, 소아청소년심장과, 심장혈관흉부외과, 의학유전학센터, 소아내분비대사과, 의학유전학과","거미손가락증,마르판씨증후군,마르팡씨증후군,마르팡증후군,마판증후군,말판씨증후군,말판증후군,지주지증"
마버그열(Marburg hemorrhagic fever),"오한, 열, 두통, 근육통, 권태감, 기침","파종혈관내응고, 황열, 라싸열, 에볼라 출혈열, 뎅기열",감염내과,"마버그 출혈열,마르부르크 출혈열"
만기 정상 분만(Normal full term spontaneous delivery),이슬,조산,산부인과,"분만,정상분만,출산"
만성 B형 간염(Chronic hepatitis B),"복부 통증, 오심, 열, 구토, 무증상, 관절통, 피부소양감, 황달, 진한 소변색, 식욕부진","독성 간염, 간염, 급성 바이러스성 간염, 전격성 간염, 간경화, 간세포암, 만성 C형 간염, 급성 B형 간염","소화기내과, 간이식ㆍ간담도외과, 소아소화기영양과",B형간염
만성 C형 간염(Chronic hepatitis C),"소화불량, 황달, 무증상, 피로감, 복부 불편감","독성 간염, 전격성 간염, 간염, 간세포암, 급성 C형 간염, 만성 B형 간염, 간경화, 급성 바이러스성 간염",소화기내과,C형간염
만성 기관지염(Chronic bronchitis),"가래, 기침, 운동 시 호흡곤란, 객혈","천식, 알레르기 비염, 폐결핵","호흡기내과, 알레르기내과",만성폐색성기관지염
만성 기침(Chronic cough),"코막힘, 기침","부비동염, 후비루, 폐렴, 급성 기관지염, 천식, 기관지확장증, 상기도 감염, 폐결핵, 만성 기관지염, 위식도 역류성 질환, 결핵, 폐암, 알레르기 비염","호흡기내과, 알레르기내과",
만성 단순 태선(Lichen simplex chronicus),"붉은 색소 침착, 발적, 피부소양감","접촉 피부염, 아토피성 피부염",피부과,태선
만성 담낭염(Chronic cholecystitis),"오심, 복부 불편감, 구토, 방사통","담낭암, 담석, 급성 담낭염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","담낭염,담낭염증,쓸개염,쓸개염증"
만성 두드러기(Chronic urticaria),"피부소양감, 발적, 발진, 환부 통증","두드러기, 혈관부종, 콜린성 두드러기","피부과, 알레르기내과","만성담마진,만성은진,만성은진피부"
만성 부비동염(Chronic rhinosinusitis),"권태감, 후각 감소, 후비루, 코막힘, 화농성 비루, 안면통","알레르기 비염, 만성 비염, 상기도 감염, 부비동염, 천식","이비인후과, 알레르기내과","만성 굴염,만성축농증"
만성 비염(Chronic rhinitis),"후각장애, 기침, 재채기, 코막힘, 콧물","비중격 만곡, 알레르기 비염, 부비동염","호흡기내과, 이비인후과, 알레르기내과","비염,비후성 비염"
만성 신부전(Chronic renal failure),"혼수, 피부소양감, 고혈압, 피부 긴장도 저하, 만성 신부전, 복수, 피로감, 면역기능 이상, 빈혈, 식욕부진, 감각 이상","급성 신부전, 낭성 신장 질환, 알포트 증후군, 고혈압, 당뇨병, 사구체신염, 신부전","신장내과, 소아청소년심장과, 신ㆍ췌장이식외과",만성콩팥기능상실증
만성 신우신염(Chronic pyelonephritis),,"요로결석, 신우요관 폐색, 요관 협착, 방광요관 역류, 요로 감염, 급성 신우신염, 급성 방광염, 간질성 방광염","감염내과, 신장내과, 소아신장과",만성 신우염
만성 위염(Chronic gastritis),"복부 통증, 오심, 가슴 답답, 설사, 토혈, 복부 압박 증상, 소화불량, 복부팽만감, 권태감","위암, 위염, 헬리코박터균 감염, 위장관 출혈, 진행성 위암, 조기 위암, 위궤양",소화기내과,
만성 전립선염(Chronic prostatitis),"생식기 통증, 골반 통증, 배뇨곤란, 긴박뇨, 잔뇨감","양성 전립선 비대증, 전립선암",비뇨의학과,만성 전립샘염
만성 중이염(Chronic otitis media),"귀의 통증, 어지러움, 환부의 분비물, 이명, 귀에서 냄새가 남, 청력장애","메니에르병, 이명, 급성 중이염, 현훈, 삼출성 중이염",이비인후과,"중이염,만성 중간귀 염"
만성 췌장염(Chronic pancreatitis),"체중감소, 방사통, 복부 통증, 지방변, 당뇨","췌장암, 췌장염, 급성 췌장염, 췌장 전이암","소화기내과, 간담도췌외과",재발성 췌장염
만성 치주염(Chronic periodontitis),"치아 벌어짐, 치아 흔들림, 치아 통증, 고름, 구취, 치아가 솟은 느낌, 잇몸염증",당뇨병,치과,"잇몸병,치주염,풍치"
만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease),"피로감, 호흡곤란, 기침, 가래, 곤봉지, 천명음, 흉곽 팽윤, 운동 시 호흡곤란","미만성 간질성 폐질환, 만성 폐질환, 만성 기침, 가습기 살균제 연관 폐질환","호흡기내과, 알레르기내과",COPD
만성 폐질환(Chronic lung disease),"가래, 객혈, 기침","미만성 간질성 폐질환, 규폐증, 만성 폐쇄성 폐질환, 폐암, 특발성 폐섬유화증, 비소세포성 폐암, 소세포성 폐암","호흡기내과, 알레르기내과",
만성 피로 증후군(Chronic Fatigue Syndrome),"전신 통증, 피로감, 수면장애, 식욕부진, 기억장애, 권태감","우울증, 수면 장애, 거북목 증후군","가정의학과, 노년내과",만성피로증후군
만성골수백혈병(Chronic myeloid leukemia),"식욕부진, 간비대, 체중감소, 잦은 감염, 비장비대, 발한, 출혈 경향성, 피부 긴장도 저하","급성골수성백혈병, 만성림프구백혈병, 급성림프모구백혈병, 호중구감소증, 백혈병, 백혈구 이상","혈액내과, 소아청소년종양혈액과","CML,만성백혈병,만성 골수성 백혈병"
만성림프구백혈병(Chronic lymphocytic leukemia),"체중감소, 피부 긴장도 저하, 비장비대, 빈혈, 기운없음, 출혈 경향성, 간비대, 경부 림프절병증","백혈구 이상, 급성림프모구백혈병, 만성골수백혈병, 급성골수성백혈병, 백혈병","혈액내과, 소아청소년종양혈액과","CLL,만성 림프구성 백혈병"
말기 신질환(End stage renal disease),"무뇨, 피로감, 피부소양감, 전신 부종, 소변량 감소, 출혈 경향성, 혼수, 멍, 혈변, 오심","신부전, 급성 신부전, 만성 신부전","신장내과, 소아신장과, 신ㆍ췌장이식외과",말기 신장(콩팥)병
말단비대증(Acromegaly),"말단비대, 시력 감소, 두통","뇌하수체 양성 및 악성 신생물, 뇌종양, 양성 뇌종양, 뇌하수체 기능 항진","내분비내과, 신경외과","acromegaly,거인증,말단거대증,선단거대증,선단비대증"
말더듬이(Stuttering),말더듬,"불안 장애, 강박 장애","정신건강의학과, 어린이병원, 소아정신건강의학과","말더듬병,말더듬증"
말라리아(Malaria),"두통, 식욕부진, 열, 오한",뎅기열,감염내과,"3일열,4일열,하루거리열,학질"
말로리-바이스 증후군(Mallory-weiss Syndrome),"토혈, 오심, 구토, 위장관 출혈",위장관 출혈,소화기내과,"말로리 웨이즈 증후군,맬러리-바이스증후군,맬러리바이스증후군"
"말초동맥질환(Peripheral aterial disease, PAD)","저림, 피부궤양, 괴사, 시림, 감각 이상, 피부색 변화","죽상경화증, 당뇨병성 족부 질환, 대사 증후군, 당뇨병","심장내과, 성형외과, 혈관외과, 정형외과",
망막 박리(Retinal detachments & breaks),"광시증, 시야장애, 비문증, 사물이 찌그러져 보임","망막 전막, 고혈압, 마르판 증후군 , 망막 출혈, 포도막염, 당뇨망막병증, 망막 정맥 폐쇄, 망막 열공, 당뇨병",안과,"HypertensiveRetinopathy,견인망막박리,삼출망막박리,열공망막박리"
망막 열공(retina tear),"눈의 충혈, 시야장애, 눈부심","망막 출혈, 망막 전막, 망막 박리, 망막 정맥 폐쇄, 황반천공, 비문증, 황반변성",안과,망막천공
망막 전막(Epiretinal membrane),"시력 감소, 사물이 찌그러져 보임","황반천공, 황반변성",안과,
망막 정맥 폐쇄(Retinal vein occlusion),"무증상, 시력 감소, 시야장애","당뇨망막병증, 고혈압, 죽상경화증, 당뇨병, 녹내장, 고지혈증",안과,"망막분지정맥폐쇄,망막중심정맥폐쇄 퍼가기"
망막 출혈(Retinal hemorrhage),"시력 감소, 시야장애","황반변성, 망막 박리, 당뇨망막병증",안과,
망막색소변성증(Retinitis Pigmentosa),"터널시야, 시력 감소, 야맹",야맹증,안과,"망막색소병증,색소성망막염"
망막아세포종(Retinoblastoma),"동공이 흰빛으로 반짝임, 안구증대, 사시, 동공산대, 사경, 시력 감소","맥락막 흑색종, 악성 흑색종","소아청소년종양혈액과, 안과",망막모세포종
망상 장애(Delusional disorder),"고정된 믿음, 망상",섬망,정신건강의학과,"과대망상,망상증"
망치족지(Hammer toe),"발가락의 변형, 굳은 살, 발의 통증",무지외반증,정형외과,"망치 발가락,망치족부변형,추상족지증"
매독(Syphilis),무증상,"임균성 요도염, 남성 불임, 비임균성 요도염, 임질","감염내과, 비뇨의학과, 피부과",잠복 매독
매몰귀(Cryptotia),귀 상부가 두피에 매몰됨,선천성 기형,성형외과,
매복 사랑니(Impacted teeth),"치아 통증, 입 주변 부종",치은염,치과,"매복 지치,매복치"
맥락막 흑색종(Choroidal melanoma),"비문증, 광시증, 시력 감소, 눈의 충혈","비문증, 망막 박리","종양내과, 방사선종양학과, 안과",맥락막 악성흑생종
맥립종(Stye),발적,봉와직염,"안과, 소아안과","눈다래기,눈다래끼,눈다래키,다래기,다래끼,다래키"
맹장염(Appendicitis),"설사, 복부 통증, 변비, 옆구리 통증, 압통","메켈 게실, 게실 질환, 패혈증, 복막염",대장항문외과,"꼬리염,충수돌기염,충수염"
메니에르병(Meniere's disease),"청력장애, 오심, 어지러움, 이명, 이폐색감","난청, 현훈",이비인후과,"내림프수종,메니에르 증후군"
